outcome,stop_reason,hands_played,starting_bankroll,final_bankroll,session_profit,total_wagered,total_bonus_wagered,peak_bankroll,max_drawdown,max_drawdown_pct
loss,max_hands,200,500.0,395.0,-105.0,1195.0,0.0,595.0,205.0,34.45378151260504
loss,max_hands,200,500.0,450.0,-50.0,1250.0,0.0,505.0,160.0,31.683168316831683
loss,loss_limit,200,500.0,300.0,-200.0,790.0,0.0,580.0,280.0,48.275862068965516
loss,max_hands,200,500.0,380.0,-120.0,1245.0,0.0,555.0,215.0,38.73873873873874
loss,loss_limit,200,500.0,300.0,-200.0,865.0,0.0,510.0,210.0,41.17647058823529
loss,max_hands,200,500.0,430.0,-70.0,1235.0,0.0,515.0,155.0,30.097087378640776
loss,loss_limit,200,500.0,300.0,-200.0,845.0,0.0,500.0,200.0,40.0
loss,max_hands,200,500.0,430.0,-70.0,1235.0,0.0,525.0,125.0,23.809523809523807
win,win_limit,200,500.0,765.0,265.0,1145.0,0.0,765.0,105.0,16.8
loss,max_hands,200,500.0,485.0,-15.0,1215.0,0.0,530.0,110.0,21.35922330097087
win,max_hands,200,500.0,555.0,55.0,1300.0,0.0,625.0,105.0,20.388349514563107
win,max_hands,200,500.0,545.0,45.0,1225.0,0.0,630.0,110.0,17.46031746031746
win,win_limit,200,500.0,775.0,275.0,925.0,0.0,775.0,120.0,18.89763779527559
win,win_limit,200,500.0,2545.0,2045.0,250.0,0.0,2545.0,25.0,4.424778761061947
win,max_hands,200,500.0,510.0,10.0,1280.0,0.0,565.0,115.0,20.353982300884958
loss,loss_limit,200,500.0,300.0,-200.0,740.0,0.0,520.0,220.0,42.30769230769231
loss,max_hands,200,500.0,390.0,-110.0,1210.0,0.0,530.0,175.0,33.0188679245283
win,max_hands,200,500.0,530.0,30.0,1255.0,0.0,540.0,140.0,27.722772277227726
win,win_limit,200,500.0,750.0,250.0,1225.0,0.0,750.0,105.0,14.093959731543624
win,max_hands,200,500.0,565.0,65.0,1235.0,0.0,595.0,90.0,16.216216216216218
win,max_hands,200,500.0,670.0,170.0,1275.0,0.0,695.0,105.0,19.090909090909093
loss,loss_limit,200,500.0,300.0,-200.0,695.0,0.0,520.0,220.0,42.30769230769231
loss,max_hands,200,500.0,430.0,-70.0,1270.0,0.0,625.0,260.0,41.6
win,max_hands,200,500.0,515.0,15.0,1210.0,0.0,570.0,105.0,20.0
win,win_limit,200,500.0,1130.0,630.0,890.0,0.0,1130.0,130.0,25.49019607843137
loss,loss_limit,200,500.0,300.0,-200.0,1100.0,0.0,500.0,200.0,40.0
win,max_hands,200,500.0,580.0,80.0,1290.0,0.0,630.0,100.0,18.34862385321101
loss,loss_limit,200,500.0,300.0,-200.0,870.0,0.0,560.0,260.0,46.42857142857143
loss,loss_limit,200,500.0,300.0,-200.0,575.0,0.0,510.0,210.0,41.17647058823529
loss,loss_limit,200,500.0,300.0,-200.0,455.0,0.0,515.0,215.0,41.74757281553398
win,win_limit,200,500.0,1005.0,505.0,135.0,0.0,1005.0,40.0,7.766990291262135
loss,loss_limit,200,500.0,300.0,-200.0,1155.0,0.0,500.0,200.0,40.0
loss,max_hands,200,500.0,490.0,-10.0,1255.0,0.0,565.0,110.0,19.81981981981982
loss,loss_limit,200,500.0,300.0,-200.0,665.0,0.0,505.0,205.0,40.5940594059406
loss,max_hands,200,500.0,480.0,-20.0,1210.0,0.0,655.0,240.0,36.6412213740458
win,win_limit,200,500.0,790.0,290.0,670.0,0.0,790.0,55.0,7.534246575342466
loss,max_hands,200,500.0,410.0,-90.0,1290.0,0.0,565.0,205.0,36.283185840707965
loss,max_hands,200,500.0,480.0,-20.0,1300.0,0.0,645.0,185.0,28.68217054263566
loss,max_hands,200,500.0,495.0,-5.0,1210.0,0.0,710.0,235.0,33.098591549295776
loss,loss_limit,200,500.0,300.0,-200.0,820.0,0.0,550.0,250.0,45.45454545454545
win,win_limit,200,500.0,890.0,390.0,205.0,0.0,890.0,120.0,23.762376237623762
loss,max_hands,200,500.0,420.0,-80.0,1180.0,0.0,585.0,210.0,35.8974358974359
loss,max_hands,200,500.0,405.0,-95.0,1240.0,0.0,560.0,170.0,30.357142857142854
loss,max_hands,200,500.0,355.0,-145.0,1180.0,0.0,545.0,195.0,35.77981651376147
win,win_limit,200,500.0,800.0,300.0,1200.0,0.0,800.0,70.0,14.000000000000002
win,max_hands,200,500.0,670.0,170.0,1290.0,0.0,710.0,105.0,15.217391304347828
win,max_hands,200,500.0,575.0,75.0,1230.0,0.0,600.0,100.0,17.857142857142858
win,win_limit,200,500.0,755.0,255.0,970.0,0.0,755.0,95.0,15.2
loss,loss_limit,200,500.0,300.0,-200.0,875.0,0.0,525.0,225.0,42.857142857142854
win,max_hands,200,500.0,605.0,105.0,1290.0,0.0,640.0,105.0,17.5
loss,loss_limit,200,500.0,300.0,-200.0,665.0,0.0,500.0,200.0,40.0
win,max_hands,200,500.0,570.0,70.0,1255.0,0.0,570.0,90.0,16.666666666666664
loss,loss_limit,200,500.0,300.0,-200.0,465.0,0.0,500.0,200.0,40.0
